coverage_id,point_id,chapter_id,heading_id,explanation_status,example_ids_json,answer_template_ids_json,source_refs_json,draft_status,source_check_status,human_review_status,checked_by,checked_at,blockers_json,updated_at
4PH1:issue4:1.1:force-mass-weight,4PH1:issue4:1.1,forces-and-motion,force-mass-weight,partial,"[""force-mass-weight:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.2P:momentum-conservation,4PH1:issue4:1.2P,forces-and-motion,momentum-conservation,partial,"[""momentum-conservation:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.2P:moments-and-equilibrium,4PH1:issue4:1.2P,forces-and-motion,moments-and-equilibrium,partial,"[""moments-and-equilibrium:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [17], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.11:forces-and-vectors,4PH1:issue4:1.11,forces-and-motion,forces-and-vectors,partial,"[""forces-and-vectors:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.12:forces-and-vectors,4PH1:issue4:1.12,forces-and-motion,forces-and-vectors,partial,"[""forces-and-vectors:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.13:forces-and-vectors,4PH1:issue4:1.13,forces-and-motion,forces-and-vectors,partial,"[""forces-and-vectors:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.14:forces-and-vectors,4PH1:issue4:1.14,forces-and-motion,forces-and-vectors,partial,"[""forces-and-vectors:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.15:forces-and-vectors,4PH1:issue4:1.15,forces-and-motion,forces-and-vectors,partial,"[""forces-and-vectors:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.16:forces-and-vectors,4PH1:issue4:1.16,forces-and-motion,forces-and-vectors,partial,"[""forces-and-vectors:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.17:force-mass-weight,4PH1:issue4:1.17,forces-and-motion,force-mass-weight,partial,"[""force-mass-weight:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.17:terminal-velocity,4PH1:issue4:1.17,forces-and-motion,terminal-velocity,partial,"[""terminal-velocity:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.18:force-mass-weight,4PH1:issue4:1.18,forces-and-motion,force-mass-weight,partial,"[""force-mass-weight:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.19:stopping-distances,4PH1:issue4:1.19,forces-and-motion,stopping-distances,partial,"[""stopping-distances:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.20:stopping-distances,4PH1:issue4:1.20,forces-and-motion,stopping-distances,partial,"[""stopping-distances:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.21:terminal-velocity,4PH1:issue4:1.21,forces-and-motion,terminal-velocity,partial,"[""terminal-velocity:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.22:force-extension,4PH1:issue4:1.22,forces-and-motion,force-extension,partial,"[""force-extension:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.23:force-extension,4PH1:issue4:1.23,forces-and-motion,force-extension,partial,"[""force-extension:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.24:force-extension,4PH1:issue4:1.24,forces-and-motion,force-extension,partial,"[""force-extension:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.25P:momentum-conservation,4PH1:issue4:1.25P,forces-and-motion,momentum-conservation,partial,"[""momentum-conservation:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.26P:momentum-and-safety,4PH1:issue4:1.26P,forces-and-motion,momentum-and-safety,partial,"[""momentum-and-safety:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.27P:momentum-conservation,4PH1:issue4:1.27P,forces-and-motion,momentum-conservation,partial,"[""momentum-conservation:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.28P:momentum-and-safety,4PH1:issue4:1.28P,forces-and-motion,momentum-and-safety,partial,"[""momentum-and-safety:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [18], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.29P:newtons-third-law,4PH1:issue4:1.29P,forces-and-motion,newtons-third-law,partial,"[""newtons-third-law:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.30P:moments-and-equilibrium,4PH1:issue4:1.30P,forces-and-motion,moments-and-equilibrium,partial,"[""moments-and-equilibrium:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.31P:moments-and-equilibrium,4PH1:issue4:1.31P,forces-and-motion,moments-and-equilibrium,partial,"[""moments-and-equilibrium:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.31P:supported-beams,4PH1:issue4:1.31P,forces-and-motion,supported-beams,partial,"[""supported-beams:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.32P:moments-and-equilibrium,4PH1:issue4:1.32P,forces-and-motion,moments-and-equilibrium,partial,"[""moments-and-equilibrium:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.32P:supported-beams,4PH1:issue4:1.32P,forces-and-motion,supported-beams,partial,"[""supported-beams:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:1.33P:supported-beams,4PH1:issue4:1.33P,forces-and-motion,supported-beams,partial,"[""supported-beams:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [19], ""provenanceKind"": ""source-fact"", ""observation"": ""Specification scope reviewed; explanation and examples are original teaching content.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-09,"[""Substatement audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-09
4PH1:issue4:3.1:wave-quantities,4PH1:issue4:3.1,waves,wave-quantities,partial,"[""wave-quantities:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.1:wave-equations,4PH1:issue4:3.1,waves,wave-equations,partial,"[""wave-equations:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.2:transverse-longitudinal,4PH1:issue4:3.2,waves,transverse-longitudinal,partial,"[""transverse-longitudinal:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.3:wave-quantities,4PH1:issue4:3.3,waves,wave-quantities,partial,"[""wave-quantities:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.4:transverse-longitudinal,4PH1:issue4:3.4,waves,transverse-longitudinal,partial,"[""transverse-longitudinal:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.5:wave-equations,4PH1:issue4:3.5,waves,wave-equations,partial,"[""wave-equations:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.6:wave-equations,4PH1:issue4:3.6,waves,wave-equations,partial,"[""wave-equations:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.7:wave-equations,4PH1:issue4:3.7,waves,wave-equations,partial,"[""wave-equations:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.8:doppler-effect,4PH1:issue4:3.8,waves,doppler-effect,partial,"[""doppler-effect:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.9:reflection-refraction,4PH1:issue4:3.9,waves,reflection-refraction,partial,"[""reflection-refraction:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [22], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.10:electromagnetic-spectrum,4PH1:issue4:3.10,waves,electromagnetic-spectrum,partial,"[""electromagnetic-spectrum:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.11:electromagnetic-spectrum,4PH1:issue4:3.11,waves,electromagnetic-spectrum,partial,"[""electromagnetic-spectrum:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.12:electromagnetic-uses,4PH1:issue4:3.12,waves,electromagnetic-uses,partial,"[""electromagnetic-uses:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.13:electromagnetic-hazards,4PH1:issue4:3.13,waves,electromagnetic-hazards,partial,"[""electromagnetic-hazards:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.14:transverse-longitudinal,4PH1:issue4:3.14,waves,transverse-longitudinal,partial,"[""transverse-longitudinal:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.14:reflection-refraction,4PH1:issue4:3.14,waves,reflection-refraction,partial,"[""reflection-refraction:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
4PH1:issue4:3.14:light-refraction,4PH1:issue4:3.14,waves,light-refraction,partial,"[""light-refraction:example""]",[],"[{""documentId"": ""4PH1-spec"", ""pdfPages"": [23], ""provenanceKind"": ""source-fact"", ""observation"": ""Scope visually reviewed; explanations and examples are original teaching material.""}]",drafted,agent-source-checked,not-reviewed,Codex Astra,2026-09-10,"[""Substatement teaching audit pending"", ""Assessment-family and whole-chapter review incomplete""]",2026-09-10
